"Conditions","Bedingungen"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Den schema.org-Typ für diese Seite auswählen. Als ""Standard"" belassen, um die globale Einstellung aus Shops > Konfiguration > Rich Snippets und OpenGraph > CMS-Seite zu verwenden."
"Rich snippet extender","Rich-Snippet-Erweiterer"
"Back","Zurück"
"General","Allgemein"
"Is active","Ist aktiv"
"Entity type","Entitätstyp"
"Store view","Shop-Ansicht"
"Snippet extension","Snippet-Erweiterung"
"JSON snippet","JSON-Snippet"
"Enclose the JSON snippet in curly braces","Das JSON-Snippet in geschweifte Klammern einschließen"
"Override non-empty fields","Nicht leere Felder überschreiben"
"Add extender","Erweiterer hinzufügen"
"ID","ID"
Answer Engine (AEO),Antwort-Engine (AEO)
Enable Answer-Engine Optimization,Antwort-Engine-Optimierung aktivieren
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Machen Sie den Graphen strukturierter Daten für KI-Antwort-Engines (ChatGPT-Suche, Perplexity, Gemini, Google AI Overviews) auffindbar. Bei Aktivierung tragen die ausgegebenen JSON-LD-Knoten stabile @id-Werte und werden zu einem zusammenhängenden Graphen verknüpft, sodass eine Antwort-Engine aus der Seite eine einzige verlässliche Entität zusammensetzen kann. Bei Deaktivierung ist die Ausgabe identisch mit dem Standardverhalten der Rich Snippets."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Fügt jedem Knoten strukturierter Daten stabile @id-Werte hinzu und verknüpft sie zu einem zusammenhängenden Graphen (das Produkt verweist auf seine Marke und die verkaufende Organisation). Standardmäßig aus; das Aktivieren ändert nicht, welche Entitäten ausgegeben werden, sondern verknüpft sie nur."
"Legal name","Rechtlicher Firmenname"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Geben Sie den vollständigen eingetragenen rechtlichen Namen Ihrer Organisation ein, falls er vom oben angezeigten Namen abweicht. Hilft Suchmaschinen, Ihre offizielle Geschäftsidentität zu erkennen."
"Founding date","Gründungsdatum"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Geben Sie das Gründungsdatum Ihrer Organisation im Format JJJJ-MM-TT ein. Wird von Suchmaschinen für den Knowledge Graph und Vertrauenssignale verwendet."
"Number of employees","Anzahl der Mitarbeiter"
"Enter the approximate number of employees in your organization.","Geben Sie die ungefähre Anzahl der Mitarbeiter Ihrer Organisation ein."
"Area served","Bedientes Gebiet"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Geben Sie das geografische Gebiet ein, das Ihre Organisation bedient, z. B. „USA“ oder „weltweit“."
"<strong><u>Contact points:</u></strong>","<strong><u>Kontaktstellen:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Definieren Sie spezielle Telefon-/E-Mail-Kontaktstellen nach Abteilung. Diese werden zusätzlich zur allgemeinen Telefonnummer/E-Mail oben hinzugefügt und helfen Suchmaschinen und Nutzern, die richtige Abteilung direkt zu erreichen."
"Customer service telephone","Telefonnummer Kundenservice"
"Customer service email","E-Mail Kundenservice"
"Customer service area served","Bedientes Gebiet Kundenservice"
"Sales telephone","Telefonnummer Vertrieb"
"Sales email","E-Mail Vertrieb"
"Sales area served","Bedientes Gebiet Vertrieb"
"Technical support telephone","Telefonnummer Technischer Support"
"Technical support email","E-Mail Technischer Support"
"Technical support area served","Bedientes Gebiet Technischer Support"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Steuert, wie die E-Mail-Kontaktadresse des Kundenservice bestimmt wird. Store-Informationen verwenden Ihre Absender-E-Mail für den Kundensupport."
"Customer service email value","E-Mail-Wert Kundenservice"
"Enter the customer service contact email address when using custom specification.","Die Kontakt-E-Mail-Adresse des Kundenservice eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Steuert, wie die E-Mail-Kontaktadresse des Vertriebs bestimmt wird. Store-Informationen verwenden Ihre Absender-E-Mail für den Vertrieb."
"Sales email value","E-Mail-Wert Vertrieb"
"Enter the sales contact email address when using custom specification.","Die Kontakt-E-Mail-Adresse des Vertriebs eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
