"Conditions","Condizioni"
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Aggiunge valori @id stabili a ogni nodo di dati strutturati e li collega in un unico grafo connesso (il prodotto fa riferimento al proprio marchio e all'organizzazione venditrice). Disattivato per impostazione predefinita; attivarlo non cambia quali entità vengono emesse, le collega soltanto."
"Legal name","Ragione sociale"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Inserisci la ragione sociale completa e registrata della tua organizzazione, se diversa dal nome visualizzato sopra. Aiuta i motori di ricerca a distinguere la tua identità commerciale ufficiale."
"Founding date","Data di fondazione"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Inserisci la data di fondazione della tua organizzazione in formato AAAA-MM-GG. Utilizzata dai motori di ricerca per il Knowledge Graph e i segnali di fiducia."
"Number of employees","Numero di dipendenti"
"Enter the approximate number of employees in your organization.","Inserisci il numero approssimativo di dipendenti della tua organizzazione."
"Area served","Area servita"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Inserisci l'area geografica servita dalla tua organizzazione, ad es. ""Italia"" o ""In tutto il mondo""."
"<strong><u>Contact points:</u></strong>","<strong><u>Punti di contatto:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Definisci punti di contatto telefonici/email dedicati per reparto. Vengono aggiunti in aggiunta al telefono/email generale sopra indicati e aiutano i motori di ricerca e gli utenti a raggiungere direttamente il reparto giusto."
"Customer service telephone","Telefono servizio clienti"
"Customer service email","Email servizio clienti"
"Customer service area served","Area servita dal servizio clienti"
"Sales telephone","Telefono ufficio vendite"
"Sales email","Email ufficio vendite"
"Sales area served","Area servita dall'ufficio vendite"
"Technical support telephone","Telefono supporto tecnico"
"Technical support email","Email supporto tecnico"
"Technical support area served","Area servita dal supporto tecnico"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Controlla come viene determinata l'email di contatto del servizio clienti. Le informazioni del negozio utilizzano la tua email del mittente per l'assistenza clienti."
"Customer service email value","Valore email servizio clienti"
"Enter the customer service contact email address when using custom specification.","Inserisci l'indirizzo email di contatto del servizio clienti quando utilizzi la specifica personalizzata."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Controlla come viene determinata l'email di contatto vendite. Le informazioni del negozio utilizzano la tua email del mittente per il rappresentante vendite."
"Sales email value","Valore email ufficio vendite"
"Enter the sales contact email address when using custom specification.","Inserisci l'indirizzo email di contatto vendite quando utilizzi la specifica personalizzata."
